words,count,Count1
She,2,
reporters,1,
hear,1,
Yorkshire,,1
life.,1,
stateroom,,2
son,,2
"d'Automne"".",1,
angered,1,
ship's,2,
Instead,,1
sent,1,
There,2,
1997,2,
until,4,
miles,1,
Christmas,1,
mostly,1,
Academy,1,
only,5,
still,2,
Diamond,2,
passenger's,2,
Historical,1,
Harold,3,
historians,,1
filming,1,
gun,1,
survivor,3,
James,6,
J.F.,1,
"cleanly""",1,
exactly,1,
man,3,
what,4,
depicts,1,
heat.,1,
1500,1,
his,18,
booked,3,
60,1,
explosions,1,
Line,,2
believe,1,
few,1,
downward,1,
survived.,1,
failure,1,
discovered,1,
embracing,1,
communication,1,
Will,1,
Line.,1,
them.,1,
search,1,
Other,1,
exists.,1,
since,1,
testimony,2,
bandleader,2,
none,1,
life,,1
"Thee""",1,
dinner.,1,
Louis,1,
nineteen-year-old,1,
omitted,,1
supported,1,
flaunting,1,
survival,,1
six.,1,
head,1,
saving,1,
woman,1,
reason,1,
themselves.,1,
lengthwise,1,
funnel,1,
portrayed,1,
hypothermia-related,1,
Groves,1,
surrounding,2,
Newspapers,1,
Rose?,1,
down.,2,
33-year-old,1,
return,3,
officer,2,
foot,1,
American,1,
faster?,1,
hands.,1,
away.,1,
with,11,
later,3,
movie's,2,
MugWere,1,
best,1,
life,1,
replica's,1,
struck,2,
died,3,
she,3,
upper,2,
referring,1,
set,,1
History,2,
Isador's,1,
identify,1,
moment,1,
able,1,
depending,2,
picture,1,
tale,1,
F.,2,
washed,1,
approaching,1,
RMS,1,
him,1,
Palm,1,
holds,1,
two,6,
loses,1,
Science,1,
bride,1,
away,,1
donation,1,
suicide,,1
becomes,1,
understand,1,
bribe.,1,
their,10,
positively,1,
chairs,1,
situation,2,
down,4,
because,3,
20,,1
Awards,1,
speak,1,
later,,1
Francisco,1,
Macy's,1,
get,2,
reality,,1
Titanic's,6,
boy,1,
assembled,1,
Brown,5,
married.,1,
playing,1,
joking.,1,
Several,1,
so,1,
"""Alexander's",1,
Jr.,1,
young,1,
grand,1,
Jack,2,
bribe?,1,
For,1,
Authorities,1,
it,18,
failed,1,
interview,1,
others,2,
clamored,1,
outside,1,
full,4,
protection,1,
Antoinette,1,
recovered.Titanic,1,
old,1,
auction,1,
Jones,,1
told,1,
Cincinnatus,1,
relatives,,1
swimmers,1,
All,1,
evidence,1,
he,17,
result,2,
abandon,1,
end,1,
pictures,2,
add,1,
officers,,1
engineering,2,
place,6,
1912,2,
deaths.,1,
could,2,
papers,1,
surface,,1
used,1,
To,1,
rough,1,
Joseph,6,
yards,1,
Carpathia,3,
care.,1,
set?,1,
luck.,1,
these,2,
human,1,
husband.,1,
release,1,
York's,1,
right.,1,
second-class,1,
part,2,
began,1,
28?,2,
accusations,,1
titanicYes.,1,
side.,1,
mourners,1,
most,3,
completed,1,
given,1,
be,2,
Edward,1,
home,1,
pull,1,
certainty,1,
really,9,
interiors,2,
fate?,1,
violinist,,1
including,2,
XVI,1,
passengers,18,
wrapped.,1,
story,1,
May,1,
Phillippe,1,
professional,1,
dawned,1,
scrutiny,1,
Surviving,1,
"""In",1,
but,4,
bed,2,
broke,3,
Where,1,
series,1,
Cameron's,3,
collar,1,
during,3,
apology,1,
stated,2,
criticism,,1
Yes.,6,
Zane,1,
plunge.,1,
promenade,1,
initials,1,
visit,1,
But,1,
Based,1,
icy,2,
small,1,
repetitive,1,
right,,1
purser's,1,
splash,1,
underwater,1,
while,3,
Brock,1,
north-west,1,
Hartley,5,
speed,2,
at,11,
